degree,specialization,academic_score,marks_10th,marks_12th,skills,core_subjects,projects,internships,experience_years,role
Diploma,Civil Engineering,7.35,84.1,93.5,"Estimation, Project Management, Site Supervision","AutoCAD:B+,STAAD Pro:B+,Structural Analysis:A-","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Site Engineer:3 months; Quantity Surveyor:3 months,4,Construction Manager
BCA,Computer Science,7.1,82.9,75.3,"Java, System Design, Git, C++, Python","Compiler Design:A-,DBMS:B+,Web Development:A,Computer Networks:C","DevOps Pipeline: Jenkins, Docker, Kubernetes; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:5 months,6,Software Engineer
M.Tech,Civil Engineering,8.45,86.1,87.1,"Project Management, Estimation, Site Supervision","STAAD Pro:A-,AutoCAD:A,Structural Analysis:B,Construction Management:C,Geotechnical Engineering:C","Residential Complex Planning: Revit, Cost Estimation",Quantity Surveyor:4 months; Quantity Surveyor:4 months,10,Site Engineer
B.Sc,Finance,8.96,80.8,95.5,"Financial Modeling, GST, Tally, Excel","Investment Analysis:A,Accounting:C,Financial Management:B,Corporate Finance:B","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:3 months,5,Economist
BCA,Data Science,7.31,97.9,77.8,"Python, Tableau, Power BI, R","Big Data Analytics:C,Statistics:A-,Linear Algebra:B+,Data Mining:C,Machine Learning:A","NLP Chatbot: Python, NLTK, Flask",,1,Data Analyst
BCA,Artificial Intelligence,8.68,76.7,90.1,"Python, PyTorch, Data Analysis, TensorFlow","Machine Learning:A,Neural Networks:A-,Deep Learning:B,NLP:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",DevOps Engineer:1 months,1,Backend Developer
B.Tech,Civil Engineering,8.12,82.4,80.5,"Site Supervision, Project Management, Estimation","STAAD Pro:A-,Structural Analysis:B,Construction Management:B,Geotechnical Engineering:A-,AutoCAD:A-","Bridge Design: AutoCAD, Structural Analysis",,3,Structural Engineer
MBA,Finance,8.16,88.8,88.5,"Excel, GST, Financial Modeling, Tally","Investment Analysis:B+,Corporate Finance:A,Financial Management:A+,Risk Management:B+","Portfolio Optimization: Python, Excel, Statistics; Risk Analysis Report: Financial Modeling, Valuation",,4,Accountant
M.Com,Finance,8.69,72.4,93.7,"GST, Excel, Tally, Financial Modeling","Investment Analysis:B,Risk Management:A-,Corporate Finance:B+,Accounting:B+","Portfolio Optimization: Python, Excel, Statistics; Risk Analysis Report: Financial Modeling, Valuation",Financial Analyst:3 months,0,Financial Analyst
MCA,Computer Science,8.64,95.2,84.5,"System Design, Git, C++","Compiler Design:A-,Operating Systems:B+,Computer Networks:A-,DBMS:C,Web Development:C","Stock Price Predictor: Python, TensorFlow, LSTM",,3,Machine Learning Engineer
MA,Data Science,7.33,82.8,74.7,"Power BI, Tableau, SQL, Python","Big Data Analytics:B+,Data Mining:B,Statistics:C,Linear Algebra:A-,Machine Learning:B+","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",,1,Teaching Professional
MCA,Computer Science,8.95,97.0,87.0,"C++, Java, Python","Compiler Design:A,Operating Systems:A,Web Development:A,Data Structures and Algorithms:B+,DBMS:A-","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",DevOps Engineer:6 months,10,Full Stack Developer
M.Tech,Civil Engineering,9.33,82.8,72.7,"Project Management, Site Supervision, Estimation","AutoCAD:A,Construction Management:A,Geotechnical Engineering:A,STAAD Pro:A,Structural Analysis:B+","Smart City Drainage: STAAD Pro, Surveying; Residential Complex Planning: Revit, Cost Estimation",Structural Intern:3 months,10,Site Engineer
BCA,Data Science,8.22,75.9,89.3,"SQL, Power BI, Tableau","Machine Learning:A+,Big Data Analytics:A-,Statistics:B","Stock Price Predictor: Python, TensorFlow, LSTM; Customer Segmentation: Python, Scikit-learn, K-means",Data Analyst:3 months,8,AI Engineer
M.Tech,Computer Science,7.34,93.5,90.3,"Java, C++, Python, Git","DBMS:A,Data Structures and Algorithms:A+,Compiler Design:B,Operating Systems:B,Web Development:C","Customer Segmentation: Python, Scikit-learn, K-means",,4,Data Scientist
B.Sc,Finance,8.52,95.9,88.2,"Tally, Financial Modeling, Excel, GST","Investment Analysis:C,Corporate Finance:B+,Accounting:A-,Financial Management:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",,2,UX Designer
BCA,Computer Science,8.13,91.5,83.5,"C++, Python, System Design","Compiler Design:C,Operating Systems:A+,DBMS:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Backend Developer:2 months; Software Developer:4 months,9,DevOps Engineer
M.Tech,Information Technology,7.34,74.2,91.3,"AWS, Linux, SQL, Network Administration","Web Technologies:C,Computer Networks:B,Database Management Systems:B,Cyber Security:A-,Cloud Computing:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:1 months,7,Backend Developer
MCA,Computer Science,7.82,94.8,72.2,"System Design, Java, C++, Git, Python","Data Structures and Algorithms:A,Operating Systems:A-,Compiler Design:B+,Web Development:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:3 months; DevOps Engineer:5 months,4,Full Stack Developer
MCA,Computer Science,8.67,71.9,80.6,"Git, C++, Python, Java, System Design","DBMS:B,Web Development:A-,Compiler Design:A-","Customer Segmentation: Python, Scikit-learn, K-means; NLP Chatbot: Python, NLTK, Flask",,2,Data Scientist
M.Tech,Civil Engineering,9.23,82.4,80.0,"Estimation, Project Management, Site Supervision","Geotechnical Engineering:A,Structural Analysis:A-,AutoCAD:A,STAAD Pro:A,Construction Management:A-","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Site Engineer:5 months,8,Site Engineer
B.Tech,Computer Science,9.5,71.1,94.9,"Python, C++, Git, System Design","Operating Systems:C,DBMS:B,Compiler Design:B,Web Development:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:3 months,7,Software Engineer
B.Sc,Marketing,8.68,95.6,90.2,"Google Analytics, Social Media, Content Strategy, SEO","Brand Management:B,Digital Marketing:A-,Consumer Behavior:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:1 months; DevOps Engineer:3 months,8,Teaching Professional
M.Sc,Civil Engineering,8.54,74.3,70.9,"Project Management, Estimation, Site Supervision","STAAD Pro:B,AutoCAD:A,Geotechnical Engineering:A","Market Entry Strategy: Research, Strategy; Brand Revitalization: Marketing, Social Media",Marketing Intern:5 months,3,Product Manager
BCA,Information Technology,7.41,83.6,80.8,"AWS, Network Administration, Linux, SQL","Database Management Systems:C,Web Technologies:B,Computer Networks:B+,Cyber Security:A,Cloud Computing:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:1 months; Backend Developer:2 months,10,Backend Developer
B.Com,Finance,9.23,75.6,95.9,"GST, Tally, Excel","Accounting:A-,Risk Management:A,Corporate Finance:C,Investment Analysis:C,Financial Management:A+","Portfolio Optimization: Python, Excel, Statistics; Risk Analysis Report: Financial Modeling, Valuation",,1,Accountant
BBA,Finance,9.16,75.5,77.0,"GST, Excel, Tally, Financial Modeling","Risk Management:B,Corporate Finance:A,Financial Management:A,Accounting:C,Investment Analysis:B","GST Compliance Tool: Tally, SQL",,1,Accountant
BCA,Information Technology,7.63,97.3,81.1,"SQL, Linux, Network Administration, AWS","Web Technologies:C,Computer Networks:B+,Cloud Computing:B,Cyber Security:B+","Disease Detection: Deep Learning, PyTorch, CNN",,3,Machine Learning Engineer
B.Sc,Human Resources,8.44,74.4,88.7,"Communication, Recruiting, Employee Relations","Training and Development:A-,Labor Laws:B,HR Management:C,Performance Management:B+","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",,4,Teaching Professional
B.Sc,Economics,7.89,74.1,94.7,"Economic Research, Data Analysis, Stata","Microeconomics:A,Macroeconomics:A,Public Finance:C,Statistics:B+","Agile Product Launch: Jira, Scrum",Business Analyst:5 months; Marketing Intern:2 months,8,Product Manager
B.Sc,Computer Science,7.31,86.3,87.7,"C++, Python, Java","DBMS:A,Computer Networks:A,Operating Systems:A-,Data Structures and Algorithms:A-,Web Development:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:3 months; Backend Developer:6 months,3,Mechanical Engineer
BCA,Artificial Intelligence,9.17,73.3,80.2,"Data Analysis, Python, TensorFlow","Neural Networks:B,Machine Learning:C,NLP:A-,Deep Learning:B","E-commerce API: Node.js, Express, MongoDB",,7,Backend Developer
M.Sc,Economics,8.4,72.6,79.8,"Data Analysis, Stata, Economic Research","Public Finance:B,Macroeconomics:A,Microeconomics:B+,Statistics:B+,Econometrics:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:2 months; DevOps Engineer:4 months,8,Mechanical Engineer
B.Tech,Civil Engineering,8.11,77.7,81.3,"Estimation, Project Management, Site Supervision","STAAD Pro:A+,Geotechnical Engineering:A,AutoCAD:A,Construction Management:C","Residential Complex Planning: Revit, Cost Estimation",,7,Civil Engineer
BA,Artificial Intelligence,7.94,83.7,96.3,"TensorFlow, PyTorch, Data Analysis, Python","Machine Learning:A,Linear Algebra:B,Neural Networks:A-,Statistics:B+,Deep Learning:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:5 months; DevOps Engineer:5 months,5,Mechanical Engineer
MA,Artificial Intelligence,8.04,86.6,88.2,"PyTorch, Python, TensorFlow, Data Analysis","NLP:C,Linear Algebra:B,Deep Learning:B,Statistics:A,Machine Learning:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:4 months,5,Research Analyst
BA,Finance,8.5,71.6,75.6,"Excel, Tally, GST","Accounting:C,Financial Management:C,Corporate Finance:C","Brand Revitalization: Marketing, Social Media",Business Analyst:3 months,3,Business Analyst
B.Tech,Artificial Intelligence,7.52,95.7,89.6,"Python, TensorFlow, Data Analysis","Machine Learning:A+,Statistics:B,Linear Algebra:A+","NLP Chatbot: Python, NLTK, Flask; Customer Segmentation: Python, Scikit-learn, K-means",Machine Learning Engineer:3 months; Machine Learning Engineer:5 months,1,AI Engineer
MBA,Finance,7.0,79.5,80.6,"Financial Modeling, Tally, Excel, GST","Financial Management:A-,Investment Analysis:A,Accounting:C","Portfolio Optimization: Python, Excel, Statistics",,6,Accountant
MCA,Information Technology,9.0,85.2,81.5,"Linux, AWS, Network Administration, SQL","Cyber Security:A,Database Management Systems:B,Web Technologies:A-,Computer Networks:B","Stock Price Predictor: Python, TensorFlow, LSTM",Data Scientist:5 months; Data Analyst:4 months,6,Data Analyst
B.Tech,Data Science,9.23,86.7,76.4,"Tableau, Power BI, R, Python","Data Mining:B,Linear Algebra:C,Machine Learning:B","Stock Price Predictor: Python, TensorFlow, LSTM; Disease Detection: Deep Learning, PyTorch, CNN",,2,Data Analyst
B.Tech,Civil Engineering,9.01,90.3,80.1,"Project Management, Site Supervision, Estimation","Geotechnical Engineering:A,Construction Management:C,AutoCAD:B+","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Quantity Surveyor:6 months,4,Construction Manager
B.Sc,Economics,7.52,78.4,91.1,"Data Analysis, Economic Research, Stata","Statistics:A,Public Finance:A,Microeconomics:A,Macroeconomics:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:5 months; Software Developer:5 months,1,Teaching Professional
MA,Data Science,8.03,75.5,84.9,"SQL, Power BI, Tableau","Machine Learning:C,Linear Algebra:A-,Statistics:B+,Big Data Analytics:B","Task Management App: React, Redux, Firebase; E-commerce API: Node.js, Express, MongoDB",,10,HR Manager
M.Sc,Artificial Intelligence,7.56,86.8,94.0,"TensorFlow, Python, PyTorch, Data Analysis","Machine Learning:B+,Neural Networks:B+,Linear Algebra:C,Deep Learning:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:2 months,3,Teaching Professional
B.Sc,Economics,9.44,82.1,89.2,"Economic Research, Data Analysis, Stata","Econometrics:C,Macroeconomics:A-,Statistics:A+,Microeconomics:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",Software Developer:2 months,9,Economist
BA,Computer Science,7.8,80.4,92.7,"Python, Java, System Design","Computer Networks:A-,Operating Systems:A-,Web Development:B+","Task Management App: React, Redux, Firebase",Software Developer:2 months; Backend Developer:1 months,1,Research Analyst
MCA,Computer Science,8.42,84.3,90.4,"Java, System Design, C++","Web Development:B,Data Structures and Algorithms:A,Computer Networks:B+,Compiler Design:A-,Operating Systems:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:4 months,6,Software Engineer
MCA,Information Technology,7.07,85.6,77.1,"SQL, AWS, Network Administration","Cyber Security:A,Web Technologies:B+,Cloud Computing:B,Computer Networks:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:5 months; Software Developer:3 months,3,DevOps Engineer
MA,Mechanical Engineering,7.54,72.5,76.3,"SolidWorks, MATLAB, Manufacturing","Fluid Mechanics:A,CAD/CAM:B,Thermodynamics:A-,Ansys:B","DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:6 months,8,Economist
Diploma,Civil Engineering,9.17,89.8,89.4,"Site Supervision, Estimation, Project Management","STAAD Pro:B,Construction Management:C,Geotechnical Engineering:B+,Structural Analysis:B,AutoCAD:A","Smart City Drainage: STAAD Pro, Surveying; Bridge Design: AutoCAD, Structural Analysis",,10,Construction Manager
BBA,Marketing,8.68,84.6,76.5,"Content Strategy, Social Media, SEO","Consumer Behavior:A-,Marketing Management:A+,Digital Marketing:B,Brand Management:A-","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",,7,Marketing Specialist
M.Tech,Artificial Intelligence,8.93,80.3,83.8,"PyTorch, TensorFlow, Python","Machine Learning:A-,Linear Algebra:A,NLP:B+","DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:1 months,0,Backend Developer
M.Tech,Artificial Intelligence,9.61,95.3,85.4,"PyTorch, Data Analysis, Python, TensorFlow","Linear Algebra:A-,Statistics:A-,NLP:B+,Neural Networks:B,Machine Learning:A-","Stock Price Predictor: Python, TensorFlow, LSTM; Disease Detection: Deep Learning, PyTorch, CNN",,5,Data Scientist
MA,Data Science,7.58,83.1,72.7,"SQL, Tableau, Python","Big Data Analytics:B,Machine Learning:B,Linear Algebra:C","E-commerce API: Node.js, Express, MongoDB; DevOps Pipeline: Jenkins, Docker, Kubernetes",Frontend Developer:6 months; DevOps Engineer:1 months,1,Economist
B.Sc,Information Technology,7.46,88.0,90.1,"AWS, Linux, Network Administration, SQL","Cyber Security:A-,Cloud Computing:A-,Database Management Systems:C,Web Technologies:A,Computer Networks:B","E-commerce API: Node.js, Express, MongoDB",Software Developer:5 months; DevOps Engineer:3 months,3,Economist
BCA,Artificial Intelligence,8.9,94.5,85.5,"Python, TensorFlow, PyTorch","Statistics:B,Neural Networks:A-,NLP:A,Deep Learning:A,Linear Algebra:A+","Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:5 months; Machine Learning Engineer:5 months,4,Machine Learning Engineer
MCA,Data Science,7.03,81.7,74.2,"SQL, Power BI, R, Tableau","Data Mining:C,Linear Algebra:A-,Statistics:B+,Machine Learning:A-,Big Data Analytics:C","Disease Detection: Deep Learning, PyTorch, CNN; Customer Segmentation: Python, Scikit-learn, K-means",,1,Machine Learning Engineer
BCA,Artificial Intelligence,9.67,72.3,82.2,"Python, Data Analysis, PyTorch","NLP:B,Machine Learning:B,Linear Algebra:A-","Stock Price Predictor: Python, TensorFlow, LSTM",Data Analyst:1 months,7,Data Analyst
BCA,Information Technology,9.4,88.6,80.9,"Network Administration, Linux, AWS","Cyber Security:B+,Web Technologies:B,Database Management Systems:A","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",,7,Full Stack Developer
Diploma,Civil Engineering,7.63,70.0,87.2,"Estimation, Site Supervision, Project Management","STAAD Pro:B,Geotechnical Engineering:B,Structural Analysis:A-,AutoCAD:B+,Construction Management:A-","Residential Complex Planning: Revit, Cost Estimation",Site Engineer:6 months,3,Construction Manager
B.Sc,Economics,8.59,76.7,78.2,"Stata, Data Analysis, Economic Research","Macroeconomics:C,Microeconomics:A,Public Finance:C,Econometrics:C,Statistics:A","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,3,Economist
MCA,Computer Science,8.71,71.4,70.2,"Git, C++, Java, System Design","Computer Networks:B+,Compiler Design:C,Data Structures and Algorithms:A,Web Development:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind; Task Management App: React, Redux, Firebase",Software Developer:2 months,10,Backend Developer
B.Tech,Data Science,7.77,93.0,94.3,"R, Python, Tableau","Linear Algebra:A,Big Data Analytics:A,Data Mining:A,Statistics:C,Machine Learning:A","Stock Price Predictor: Python, TensorFlow, LSTM",Data Analyst:5 months,9,Machine Learning Engineer
MCA,Artificial Intelligence,7.73,77.4,85.7,"PyTorch, Data Analysis, Python, TensorFlow","Machine Learning:B+,Linear Algebra:A-,Neural Networks:B,Statistics:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Software Developer:5 months; Frontend Developer:3 months,5,Full Stack Developer
BA,Data Science,8.86,96.2,79.6,"R, SQL, Power BI, Tableau, Python","Linear Algebra:A,Data Mining:A,Machine Learning:B,Statistics:C","Portfolio Website: HTML, CSS, JavaScript, Tailwind; DevOps Pipeline: Jenkins, Docker, Kubernetes",Backend Developer:3 months,7,Teaching Professional
M.Tech,Artificial Intelligence,9.35,89.0,73.6,"Python, TensorFlow, Data Analysis","Linear Algebra:B,Statistics:B,NLP:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes",Software Developer:3 months,2,Frontend Developer
BA,Information Technology,7.16,75.6,94.2,"SQL, AWS, Linux","Computer Networks:B+,Cyber Security:A,Web Technologies:A,Database Management Systems:A-,Cloud Computing:A","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:1 months,2,UX Designer
Diploma,Civil Engineering,7.16,94.0,82.7,"Site Supervision, Estimation, Project Management","Construction Management:B+,Geotechnical Engineering:A,Structural Analysis:A-","Bridge Design: AutoCAD, Structural Analysis; Residential Complex Planning: Revit, Cost Estimation",Site Engineer:5 months,3,Civil Engineer
MBA,Finance,7.26,88.3,83.2,"GST, Tally, Financial Modeling, Excel","Investment Analysis:B,Accounting:B+,Corporate Finance:A-","GST Compliance Tool: Tally, SQL; Risk Analysis Report: Financial Modeling, Valuation",Tax Consultant:5 months,2,Accountant
B.Tech,Civil Engineering,9.24,73.4,84.0,"Project Management, Estimation, Site Supervision","Structural Analysis:A-,AutoCAD:A-,Geotechnical Engineering:A,STAAD Pro:A+,Construction Management:B+","Residential Complex Planning: Revit, Cost Estimation",,0,Civil Engineer
B.Com,Finance,7.69,80.4,75.6,"Tally, Excel, GST, Financial Modeling","Financial Management:A,Corporate Finance:B+,Accounting:B,Risk Management:C","Risk Analysis Report: Financial Modeling, Valuation; Portfolio Optimization: Python, Excel, Statistics",Audit Assistant:2 months; Tax Consultant:2 months,6,Financial Analyst
MBA,Finance,8.76,83.8,75.3,"GST, Tally, Financial Modeling, Excel","Accounting:B,Corporate Finance:A-,Financial Management:A-,Risk Management:A","GST Compliance Tool: Tally, SQL",Audit Assistant:3 months; Financial Analyst:2 months,9,Financial Analyst
M.Tech,Civil Engineering,7.46,72.4,73.9,"Project Management, Estimation, Site Supervision","Structural Analysis:A-,Construction Management:A-,AutoCAD:A,Geotechnical Engineering:A,STAAD Pro:A-","Residential Complex Planning: Revit, Cost Estimation",,2,Civil Engineer
M.Sc,Data Science,8.5,81.3,79.7,"Python, Power BI, SQL","Big Data Analytics:B,Statistics:B+,Machine Learning:B,Data Mining:B+","Market Entry Strategy: Research, Strategy; Agile Product Launch: Jira, Scrum",Product Management:1 months,2,Product Manager
M.Sc,Marketing,8.14,71.0,91.1,"Social Media, Content Strategy, Google Analytics, SEO","Brand Management:A-,Consumer Behavior:C,Digital Marketing:A","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Backend Developer:6 months,8,Mechanical Engineer
MBA,Finance,8.19,75.2,96.1,"GST, Excel, Tally","Accounting:A,Investment Analysis:C,Financial Management:A-,Risk Management:A","GST Compliance Tool: Tally, SQL; Portfolio Optimization: Python, Excel, Statistics",Financial Analyst:3 months; Tax Consultant:3 months,6,Accountant
M.Tech,Artificial Intelligence,9.07,95.0,74.7,"TensorFlow, PyTorch, Python, Data Analysis","Deep Learning:A-,Neural Networks:A-,Statistics:A","E-commerce API: Node.js, Express, MongoDB; Portfolio Website: HTML, CSS, JavaScript, Tailwind",Backend Developer:6 months,4,DevOps Engineer
B.Tech,Artificial Intelligence,8.44,88.2,80.0,"PyTorch, Data Analysis, TensorFlow","Deep Learning:A,Statistics:C,Neural Networks:A,Linear Algebra:A+,NLP:A-","Stock Price Predictor: Python, TensorFlow, LSTM",,9,Machine Learning Engineer
BBA,Marketing,7.35,74.3,71.1,"Social Media, Content Strategy, Google Analytics","Consumer Behavior:B+,Brand Management:C,Marketing Management:A+,Digital Marketing:C","DevOps Pipeline: Jenkins, Docker, Kubernetes",,7,Marketing Specialist
B.Tech,Information Technology,8.1,80.0,82.0,"Linux, Network Administration, AWS","Cloud Computing:A-,Computer Networks:C,Database Management Systems:B,Web Technologies:B,Cyber Security:A","Disease Detection: Deep Learning, PyTorch, CNN; Stock Price Predictor: Python, TensorFlow, LSTM",Machine Learning Engineer:2 months; Machine Learning Engineer:5 months,2,Data Analyst
BCA,Information Technology,8.98,86.0,92.3,"AWS, SQL, Network Administration, Linux","Web Technologies:C,Cyber Security:C,Database Management Systems:B,Cloud Computing:B,Computer Networks:A-","NLP Chatbot: Python, NLTK, Flask; Disease Detection: Deep Learning, PyTorch, CNN",,4,Machine Learning Engineer
M.Sc,Data Science,9.18,88.2,81.1,"Python, R, SQL, Power BI","Linear Algebra:B+,Big Data Analytics:A,Data Mining:A,Machine Learning:C,Statistics:A-","Portfolio Website: HTML, CSS, JavaScript, Tailwind",,10,Research Analyst
MA,Computer Science,7.77,91.7,78.8,"Java, System Design, Python, C++","Compiler Design:B+,Computer Networks:A,Data Structures and Algorithms:A","E-commerce API: Node.js, Express, MongoDB; Task Management App: React, Redux, Firebase",DevOps Engineer:5 months; DevOps Engineer:4 months,4,UX Designer
M.Tech,Computer Science,7.31,73.0,97.2,"C++, Git, Java, System Design, Python","Web Development:A,DBMS:A,Compiler Design:C","Task Management App: React, Redux, Firebase; Portfolio Website: HTML, CSS, JavaScript, Tailwind",,2,DevOps Engineer
B.Tech,Computer Science,7.39,76.5,83.1,"Java, Python, Git","Web Development:B,Compiler Design:A-,Operating Systems:A+,Data Structures and Algorithms:A-,Computer Networks:C","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",DevOps Engineer:2 months; DevOps Engineer:4 months,6,DevOps Engineer
M.Sc,Human Resources,7.53,82.4,80.9,"Recruiting, Communication, Employee Relations","Performance Management:C,Training and Development:B+,Labor Laws:B+,HR Management:A-","DevOps Pipeline: Jenkins, Docker, Kubernetes; Task Management App: React, Redux, Firebase",Software Developer:5 months; DevOps Engineer:4 months,7,UX Designer
BA,Marketing,8.56,91.8,73.0,"Content Strategy, Social Media, SEO, Google Analytics","Brand Management:B,Market Research:B+,Consumer Behavior:A-,Marketing Management:A-,Digital Marketing:B","DevOps Pipeline: Jenkins, Docker, Kubernetes; E-commerce API: Node.js, Express, MongoDB",,2,Marketing Specialist
M.Sc,Artificial Intelligence,7.39,81.0,95.6,"Data Analysis, Python, TensorFlow","NLP:A,Deep Learning:B,Linear Algebra:B","Portfolio Website: HTML, CSS, JavaScript, Tailwind",Frontend Developer:1 months,1,Research Analyst
MA,Mechanical Engineering,8.17,79.9,87.5,"Manufacturing, MATLAB, SolidWorks","CAD/CAM:B,Fluid Mechanics:C,Thermodynamics:A,Solid Mechanics:B","Brand Revitalization: Marketing, Social Media; Agile Product Launch: Jira, Scrum",,9,Business Analyst
B.Tech,Civil Engineering,8.08,86.0,80.2,"Estimation, Project Management, Site Supervision","Geotechnical Engineering:A-,STAAD Pro:A-,Construction Management:A","Residential Complex Planning: Revit, Cost Estimation; Smart City Drainage: STAAD Pro, Surveying",,3,Civil Engineer
MA,Finance,7.51,94.3,97.4,"Tally, GST, Financial Modeling","Corporate Finance:B+,Financial Management:A,Risk Management:C,Accounting:B+","Task Management App: React, Redux, Firebase",Software Developer:2 months; DevOps Engineer:1 months,4,Teaching Professional
MCA,Data Science,8.34,85.6,77.8,"Python, R, Tableau, Power BI","Data Mining:B+,Linear Algebra:A+,Statistics:A-,Big Data Analytics:A","Disease Detection: Deep Learning, PyTorch, CNN",,2,AI Engineer
M.Tech,Data Science,9.61,94.8,77.9,"Power BI, Tableau, R, SQL","Statistics:C,Big Data Analytics:A,Machine Learning:A","Task Management App: React, Redux, Firebase; DevOps Pipeline: Jenkins, Docker, Kubernetes",,5,Backend Developer
M.Tech,Artificial Intelligence,7.77,92.2,73.3,"PyTorch, TensorFlow, Python, Data Analysis","Neural Networks:B,Deep Learning:B,Machine Learning:B,Linear Algebra:C","Stock Price Predictor: Python, TensorFlow, LSTM; Disease Detection: Deep Learning, PyTorch, CNN",Data Scientist:3 months,4,Data Analyst
Diploma,Civil Engineering,8.16,79.1,95.6,"Site Supervision, Project Management, Estimation","AutoCAD:A-,Geotechnical Engineering:B+,Construction Management:B,STAAD Pro:A","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Quantity Surveyor:4 months,0,Structural Engineer
BCA,Information Technology,8.43,91.3,90.6,"AWS, Network Administration, SQL, Linux","Computer Networks:B+,Database Management Systems:B+,Web Technologies:C","E-commerce API: Node.js, Express, MongoDB",DevOps Engineer:3 months; DevOps Engineer:3 months,8,DevOps Engineer
M.Tech,Civil Engineering,8.47,90.0,91.9,"Project Management, Estimation, Site Supervision","Geotechnical Engineering:C,Structural Analysis:C,STAAD Pro:A-,AutoCAD:A","Bridge Design: AutoCAD, Structural Analysis",Structural Intern:1 months,2,Structural Engineer
B.Tech,Information Technology,8.4,97.2,97.1,"AWS, Network Administration, SQL","Cyber Security:B,Web Technologies:B+,Database Management Systems:C,Cloud Computing:B+","Portfolio Website: HTML, CSS, JavaScript, Tailwind; E-commerce API: Node.js, Express, MongoDB",Backend Developer:4 months; Frontend Developer:2 months,2,DevOps Engineer
MCA,Artificial Intelligence,7.8,87.0,76.7,"TensorFlow, Python, PyTorch, Data Analysis","Statistics:A,NLP:A-,Neural Networks:A","E-commerce API: Node.js, Express, MongoDB",Software Developer:4 months; Backend Developer:5 months,6,Full Stack Developer
M.Tech,Civil Engineering,8.05,71.2,87.7,"Estimation, Project Management, Site Supervision","AutoCAD:A-,Structural Analysis:C,Geotechnical Engineering:A-","Residential Complex Planning: Revit, Cost Estimation; Bridge Design: AutoCAD, Structural Analysis",Site Engineer:3 months; Quantity Surveyor:4 months,0,Structural Engineer
